Interpret,Titel,Album,L‰nge,Jahr,Genre,Bewertung,Bitrate,Pfad,Medium
"Artem'ev Andrej","Esli ty pozovyosh.","Slezy lyubvi","3:40",2011,"Pop",60,256,"K:\studio\musik\2011\_lat\_pop\Slezy_lubvi\93. Artem.ev Andrey - Esli ty pozovyosh..mp3",""
"Marsel","Eta pesnya dlya tebya","DiskKurort","3:36",2011,"Pop",60,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\163. Marsel - Eta pesnya dlya tebya.mp3",""
"Marsel'","Eta pesnya dlya tebya (Vlad Zhukov Remix)","Piratskaj stancij","4:04",2011,"Pop",60,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\007 Marsel' - Aeta pesnya dlya tebya (Vlad Zhukov Remix).mp3",""
"Marta","Eto Lyubov' Byla","Vse Zvezdy 2011","3:03",2011,"Pop",90,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\198_Marta - Aeto lyubov' byla.mp3",""
"Klipsa","Eto ya (DJ Grant & DJ Johnny Clash Exclusive Remix)","Piratskaj stancij","4:43",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\107 Klipsa - Aeto ya (DJ Grant & DJ Johnny Clash Exclusive Remix).mp3",""
"Yakhont","Etot vecher","Slezy lyubvi","3:30",2011,"Pop",60,256,"K:\studio\musik\2011\_lat\_pop\Slezy_lubvi\87. YAhont - Etot vecher.mp3",""
"Ph Electro","Every Breath You Take","DiskKurort","2:57",2011,"Pop",60,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\142. Ph Electro - Every Breath You Take.mp3",""
"PH Electro","Every Breath You Take","Vse Zvezdy 2011","2:44",2011,"Pop",60,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\032_PH Electro - Every Breath You Take.mp3",""
"Alesha Dixon feat. Jay Sean","Every Little Part Of Me","Vse Zvezdy 2011","3:19",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\036_Alesha Dixon feat. Jay Sean - Every Little Part Of Me.mp3",""
"Sergio Galoyan feat. Nire Alldai","Everything","Vse Zvezdy 2011","3:56",2011,"Pop",50,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\040_Sergio Galoyan feat. Nire Alldai - Everything.mp3",""
"Ironik ft. Jessica Lowndes","Falling In Love","DiskKurort","3:09",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\092. Ironik ft. Jessica Lowndes - Falling In Love.mp3",""
"Taio Cruz","Falling In Love","Vse Zvezdy 2011","3:30",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\078_Taio Cruz - Falling In Love.mp3",""
"Bob Sinclar feat. Raffaella Carra","Far LAmore (Radio Edit)","Piratskaj stancij","3:01",0,"Pop",60,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\036 Bob Sinclar feat. Raffaella Carra - Far LAmore (Radio Edit).mp3",""
"D.Lemma feat. Milosskaya","Fashion Diva","Vse Zvezdy 2011","3:26",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\123_D.Lemma feat. Milosskaya - Fashion Diva.mp3",""
"Astudio","Fashion Girl (Radio Edit)","XXXLVes2011","3:51",2011,"Pop",30,256,"K:\studio\musik\2011\_lat\_pop\XXXLVes2011\72 Astudio - Fashion Girl (Radio Edit).mp3",""
"Clinton Sparks feat. Dj Class & JD","Favorite DJ (Benny Benassi Remix Edit 1)","Piratskaj stancij","5:32",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\134 Clinton Sparks feat. Dj Class & JD - Favorite DJ (Benny Benassi Remix Edit 1).mp3",""
"Jason Nevins &amp; Anya Chak","Feels Right","Vse Zvezdy 2011","3:52",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\156_Jason Nevins &amp; Anya Chak - Feels Right.mp3",""
"Yazhevika","Feya","XXXLVes2011","3:10",2011,"Pop",30,256,"K:\studio\musik\2011\_lat\_pop\XXXLVes2011\62 Yazhevika - Feya.mp3",""
"Pulsedriver","Find My Way (Topmodelz Remix)","Piratskaj stancij","5:19",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\054 Pulsedriver - Find My Way (Topmodelz Remix).mp3",""
"DJ Smash feat. Timati","Fokusy","VzrHitParOtRusRad","3:45",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\013. DJ Smash feat. Timati - Fokusy.mp3",""
"DJ Smash","Fokusy (feat. Timati)","LetoNaMuzTV","3:45",2011,"Pop",40,256,"K:\studio\musik\2011\_lat\_pop\LetoNaMuzTV\64 DJ Smash - Fokusy (feat. Timati).mp3",""
"Madcon","Freaky Like Me","DiskKurort","3:08",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\110. Madcon - Freaky Like Me.mp3",""
"Pink","Fuckin Perfect","DiskKurort","3:31",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\148. Pink - Fuckin Perfect.mp3",""
"Pink","Fuckin Perfect","Vse Zvezdy 2011","3:31",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\012_Pink - Fuckin&apos; Perfect.mp3",""
"Twin Pack","Funky Beats (Electrosila Cut Remix)","Piratskaj stancij","2:49",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\167 Twin Pack - Funky Beats (Electrosila Cut Remix).mp3",""
"Ezhevika","Gallyucinogennyj","XXXLVes2011","3:28",2011,"Pop",60,256,"K:\studio\musik\2011\_lat\_pop\XXXLVes2011\50 Ezhevika - Gallyucinogennyj.mp3",""
"Yazhevika","Gallyucinogennyj","VzrHitParOtRusRad","3:28",2011,"Pop",60,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\028. Yazhevika - Gallyucinogennyj.mp3",""
"Yazhevika","Gallyucinogennyy (NoMosk Remix)","Piratskaj stancij","4:16",2011,"Pop",60,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\137 Yazhevika - Gallyucinogennyj (NoMosk Remix).mp3",""
"Yazhevika","Gallyutsinogennyi","DiskKurort","4:16",2011,"Pop",60,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\067. Yazhevika - Gallyutsinogennyi .mp3",""
"Coolio vs. Kylian Mash & Rico Bernasconi","Gangsta's Paradise 2011 (Bernasconi & Farenthide Re-cut)","Piratskaj stancij","3:39",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\150 Coolio vs. Kylian Mash & Rico Bernasconi - Gangsta's Paradise 2011 (Bernasconi & Farenthide).mp3",""
"Kazancev Ruslan","Gde - to ochen. daleko","Slezy lyubvi","4:25",2011,"Pop",30,256,"K:\studio\musik\2011\_lat\_pop\Slezy_lubvi\90. Kazanczev Ruslan - Gde - to ochen. daleko.mp3",""
"Kamaliya","Gde ty","VzrHitParOtRusRad","3:43",2011,"Pop",50,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\183. Kamaliya - Gde ty.mp3",""
"Aslan Feat. Marina","Gde Ty (Radu Sirbu Mix)","XXXLVes2011","3:40",2011,"Pop",50,256,"K:\studio\musik\2011\_lat\_pop\XXXLVes2011\41 Aslan Feat. Marina - Gde Ty (Radu Sirbu Mix).mp3",""
"DJ Smash feat. DJ She & Coco Star","Get Over You","Piratskaj stancij","3:35",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\070 DJ Smash feat. DJ She & Coco Star - Get Over You.mp3",""
"David Guetta Ft Chris Willis","Gettin Over","DiskKurort","2:56",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\120. David Guetta Ft Chris Willis - Gettin Over.mp3",""
"Serge Devant & Hadley","Ghost","DiskKurort","3:41",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\156. Serge Devant & Hadley - Ghost.mp3",""
"Andreas Johnson","Glorious (DJ Nejtrino & DJ Stranger Radio Mix)","Piratskaj stancij","3:29",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\048 Andreas Johnson - Glorious (DJ Nejtrino & DJ Stranger Radio Mix).mp3",""
"Madcon","Glow","Tanceval_Dinamika","3:47",2011,"Pop",30,320,"K:\studio\musik\2011\_lat\_pop\Tanceval_Dinamika\14. Madcon - Glow.mp3",""
"DJ Boyko & Sound Shocking","Gluboko (Radio Mix 2011)","Piratskaj stancij","3:24",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\059 DJ Boyko & Sound Shocking - Gluboko (Radio Mix 2011).mp3",""
"23-45","Gody Letyat","XXXLVes2011","3:27",2011,"Pop",60,256,"K:\studio\musik\2011\_lat\_pop\XXXLVes2011\96 23-45 - Gody Letyat.mp3",""
"Gradusy","Golaya","DiskKurort","4:06",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\143. Gradusy - Golaya.mp3",""
"Gradusy","Golaya","HitNastSummer","4:07",2011,"Pop",40,256,"K:\studio\musik\2011\_lat\_pop\HitNastSummer\56.  Gradusy - Golaya .mp3",""
"Gradusy","Golaya","Vse Zvezdy 2011","4:05",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\013_Gradusy - Golaya.mp3",""
"Gradusy","Golaya","VzrHitParOtRusRad","4:05",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\124. Gradusy - Golaya.mp3",""
"Gradusy","Golaya (Andrey S.p.l.a.s.h. Radio Remix)","Piratskaj stancij","3:47",2011,"Pop",50,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\009 Gradusy - Golaya (Andrey S.p.l.a.s.h. Radio Remix).mp3",""
"Gradusy","Golaya (GASpromo Sunshine remix)","SamSHikNaPer","3:21",2011,"Pop",60,256,"K:\studio\musik\2011\_lat\_pop\SamSHikNaPer\72 Gradusy - Golaya (GASpromo Sunshine remix).mp3",""
"DJ Vengerov feat. Gradusy","Golaya (Remix Radio Edit)","LetoNaMuzTV","3:52",2011,"Pop",30,256,"K:\studio\musik\2011\_lat\_pop\LetoNaMuzTV\96 DJ Vengerov feat. Gradusy - Golaya (Remix Radio Edit).mp3",""
"Dj Fresh","Gold Dust","DiskKurort","3:14",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\058. Dj Fresh - Gold Dust.mp3",""
"Leonid Rudenko ft. Max Fredrikson","Goodbye","DiskKurort","3:03",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\106. Leonid Rudenko ft. Max Fredrikson - Goodbye  .mp3",""
"Dj Leonid Rudenko Ft. Max Fredrikson","Goodbye (Beautiful Eyes)","Tanceval_Dinamika","3:06",2011,"Pop",20,320,"K:\studio\musik\2011\_lat\_pop\Tanceval_Dinamika\09. Dj Leonid Rudenko Ft. Max Fredrikson - Goodbye (Beautiful Eyes).mp3",""
"DJ Slon feat. Mucho Stilo &amp; Katja","Goodbye Cora (Radio edit)","Vse Zvezdy 2011","3:28",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\113_DJ Slon feat. Mucho Stilo &amp; Katja - Goodbye Cora (Radio edit).mp3",""
"Maks Fadeev","Googoosha","VzrHitParOtRusRad","5:39",2011,"Pop",60,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\130. Maks Fadeev - Googoosha.mp3",""
"9 Gramm","Gorod Nochnoj","XXXLVes2011","3:00",2011,"Pop",40,256,"K:\studio\musik\2011\_lat\_pop\XXXLVes2011\31 9 Gramm - Gorod Nochnoj.mp3",""
"Sveta","Gorod Raya (DJ Jump Club Radio Mix)","DiskKurort","4:15",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\053. Sveta - Gorod Raya (DJ Jump Club Radio Mix).mp3",""
"Chaj vdvoem","Gospodin Prezident","MuzDlyaMol4","4:24",2011,"Pop",50,256,"K:\studio\musik\2011\_lat\_pop\MuzDlyaMol4\13 Chaj vdvoem - Gospodin Prezident.mp3",""
"Chaj vdvoem","Gospodin Prezident","SamSHikNaPer","4:24",2011,"Pop",50,256,"K:\studio\musik\2011\_lat\_pop\SamSHikNaPer\13 Chaj vdvoem - Gospodin Prezident.mp3",""
"Chaj Vdvoem","Gospodin Prezident","VzrHitParOtRusRad","4:24",2011,"Pop",50,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\112. Chaj Vdvoem - Gospodin Prezident.mp3",""
"Basto!","Gregory's Theme (Radio Edit)","Piratskaj stancij","2:53",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\140 Basto! - Gregory's Theme (Radio Edit).mp3",""
"Bruno Mars","Grenade","Vse Zvezdy 2011","3:39",2011,"Pop",50,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\038_Bruno Mars - Grenade.mp3",""
"Para Normalnykh","Happy End (Dfm Remix)","DiskKurort","3:25",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\065. Para Normalnykh - Happy End (Dfm Remix).mp3",""
"Charlie Dee","Have It All (DJ Tiesto Radio Mix)","Vse Zvezdy 2011","3:29",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\170_Charlie Dee - Have It All (DJ Tiesto Radio Mix).mp3",""
"Jason Born","Heart Of Asia (Paul Oakenfold Edit)","Vse Zvezdy 2011","3:34",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\195_Jason Born - Heart Of Asia (Paul Oakenfold Edit).mp3",""
"Andrew Spencer","Heart Of The Ocean (Eric Chase Remix Edit)","Vse Zvezdy 2011","2:59",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\124_Andrew Spencer - Heart Of The Ocean (Eric Chase Remix Edit).mp3",""
"Enrique Iglesias & Nicole Scherzinger","Heartbeat","DiskKurort","4:17",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\196. Enrique Iglesias & Nicole Scherzinger - Heartbeat.mp3",""
"S. Lazarev","Heartbeat","LetoNaMuzTV","3:20",2011,"Pop",30,256,"K:\studio\musik\2011\_lat\_pop\LetoNaMuzTV\88 S. Lazarev - Heartbeat.mp3",""
"Sergej Lazarev","Heartbeat","Vse Zvezdy 2011","4:04",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\027_Sergej Lazarev - Heartbeat.mp3",""
"Martin Solveig & Dragonette","Hello (Sidney Samson Remix)","Piratskaj stancij","5:18",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\163 Martin Solveig & Dragonette - Hello (Sidney Samson Remix).mp3",""
"Milk & Sugar Vs Vaya Con Dios","Hey (Nah Neh Nah)","DiskKurort","5:25",2011,"Pop",80,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\118. Milk & Sugar Vs Vaya Con Dios - Hey (Nah Neh Nah).mp3",""
"018_Milk & Sugar Vs Vaya Con Dios","Hey (Nah Neh Nah) (Milk & Sugar Radio Version)","Vse Zvezdy 2011","3:15",2011,"Pop",-1,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\018_Milk &amp; Sugar vs Vaya Con Dios - Hey (Nah Neh Nah) (Milk &amp; Sugar Radio Version).mp3",""
"Pitbull Ft. T-Pain","Hey Baby","DiskKurort","3:24",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\146. Pitbull Ft. T-Pain - Hey Baby.mp3",""
"Club Madness","Hey Baby (Drop It To The Floor) (OMG Remix Edit)","Piratskaj stancij","3:18",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\158 Club Madness - Hey Baby (Drop It To The Floor) (OMG Remix Edit).mp3",""
"Club Madness","Hey Baby (Drop It To The Floor) (OMG Remix Edit)","Vse Zvezdy 2011","3:18",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\104_Club Madness - Hey Baby (Drop It To The Floor) (OMG Remix Edit).mp3",""
"Glyukoza","High Sign","Vse Zvezdy 2011","3:39",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\005_Glyukoza - High Sign.mp3",""
"Taio Cruz & Kylie Minogue","Higher","DiskKurort","3:08",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\094. Taio Cruz & Kylie Minogue - Higher.mp3",""
"Taio Cruz feat. Kylie Minogue &amp; Travie Mccoy","Higher (Ultimate High Radio Mix)","Vse Zvezdy 2011","3:39",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\020_Taio Cruz feat. Kylie Minogue &amp; Travie Mccoy - Higher (Ultimate High Radio Mix).mp3",""
"Jay Sean feat. Lil Wayne","Hit Tha Lights (Jump Smokers Extended Remix)","Piratskaj stancij","4:15",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\112 Jay Sean feat. Lil Wayne - Hit Tha Lights (Jump Smokers Extended Remix).mp3",""
"Glyukoza","Hochu muzhchinu","Slezy lyubvi","3:31",2011,"Pop",30,256,"K:\studio\musik\2011\_lat\_pop\Slezy_lubvi\45. Glyukoza - Hochu muzhchinu.mp3",""
"Britney Spears","Hold It Against Me","DiskKurort","3:48",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\036. Britney Spears - Hold It Against Me.mp3",""
"Britney Spears","Hold it Against Me (Adrian Lux & Nause Radio)","Piratskaj stancij","3:02",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\096 Britney Spears - Hold it Against Me (Adrian Lux & Nause Radio).mp3",""
"Britney Spears feat. Flo Rida","Hold It Againts Me","Vse Zvezdy 2011","3:47",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\008_Britney Spears feat. Flo Rida - Hold It Againts Me.mp3",""
"David Vendetta ft. Rachael Starr","Holding On","DiskKurort","3:23",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\050. David Vendetta ft. Rachael Starr - Holding On.mp3",""
"Michael Jackson","Hollywood Tonight","Vse Zvezdy 2011","3:43",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\142_Michael Jackson - Hollywood Tonight.mp3",""
"Jay Sean","Home","Vse Zvezdy 2011","3:54",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\160_Jay Sean - Home.mp3",""
"Dony feat. Elena Gheorghe","Hot Girls (Original Radio Edit)","Vse Zvezdy 2011","3:39",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\132_Dony feat. Elena Gheorghe - Hot Girls (Original Radio Edit).mp3",""
"Stromae","House Lleluja (Klaas Mix)","DiskKurort","3:07",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\162. Stromae - House Lleluja (Klaas Mix).mp3",""
"Tokio Hotel","Hurricanes and Suns","Vse Zvezdy 2011","3:34",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\102_Tokio Hotel - Hurricanes and Suns.mp3",""
"Inusa Dawuda","I Feel Beautiful","Vse Zvezdy 2011","3:47",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\158_Inusa Dawuda - I Feel Beautiful.mp3",""
"Tom Boxer feat. Alexandra Black","I Feel You (Extended Version)","Vse Zvezdy 2011","5:01",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\166_Tom Boxer feat. Alexandra Black - I Feel You (Extended Version).mp3",""
"Enrique Iglesias feat Pitbull","I like it","DiskKurort","3:49",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\144. Enrique Iglesias feat Pitbull - I like it.mp3",""
"Sasha Dith","I Love Dance (Red-Mind Mix Edit)","Vse Zvezdy 2011","3:46",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\116_Sasha Dith - I Love Dance (Red-Mind Mix Edit).mp3",""
"Verka Serdyuchka","I Love You","XXXLVes2011","3:27",2011,"Pop",40,256,"K:\studio\musik\2011\_lat\_pop\XXXLVes2011\97 Verka Serdyuchka - I Love You.mp3",""
"Vesna","I Love You","DiskKurort","4:13",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\015. Vesna - I Love You.mp3",""
"DJ Smash feat. Terri B! & Mc Shayon","I Need You Now","Piratskaj stancij","4:00",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\052 DJ Smash feat. Terri B! & Mc Shayon - I Need You Now.mp3",""
"Bulanova Tat'yana","I nikogda","Slezy lyubvi","3:36",2011,"Pop",40,256,"K:\studio\musik\2011\_lat\_pop\Slezy_lubvi\41. Bulanova Tat.yana -  I nikogda.mp3",""
"Eric Carter","I Promised To The Sun","Vse Zvezdy 2011","3:13",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\172_Eric Carter - I Promised To The Sun.mp3",""
"Larisa Chernikova","I Still Love You","Vse Zvezdy 2011","3:13",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\107_Larisa Chernikova - I Still Love You.mp3",""
"Eddy Wata","I Wanna Dance (Radio Edit)","Vse Zvezdy 2011","3:49",2011,"Pop",60,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\042_Eddy Wata - I Wanna Dance (Radio Edit).mp3",""
"Lolita Feat. Nuckids","Idi I Smotri","XXXLVes2011","3:27",2011,"Pop",40,256,"K:\studio\musik\2011\_lat\_pop\XXXLVes2011\98 Lolita Feat. Nuckids - Idi I Smotri.mp3",""
"Adam Lambert","If I Had You","DiskKurort","3:45",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\020. Adam Lambert - If I Had You.mp3",""
"Sati Kazanova","Igra","Tanceval_Dinamika","3:17",2011,"Pop",30,320,"K:\studio\musik\2011\_lat\_pop\Tanceval_Dinamika\17. Sati Kazanova - Igra.mp3",""
"D.I.P Project","Illyuziya (Aelektroniki Djs Club Full Remix)","XXXLVes2011","6:09",2011,"Pop",20,256,"K:\studio\musik\2011\_lat\_pop\XXXLVes2011\13 D.I.P Project - Illyuziya (Aelektroniki Djs Club Full Remix).mp3",""
"Timati feat. P.diddy","Im On You","LetoNaMuzTV","3:57",2011,"Pop",20,256,"K:\studio\musik\2011\_lat\_pop\LetoNaMuzTV\80 Timati feat. P.diddy - Im On You.mp3",""
"Deejay Jay vs. Dilba","I'm Sorry (Radio Edit)","Vse Zvezdy 2011","3:29",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\164_Deejay Jay vs. Dilba - I&apos;m Sorry (Radio Edit).mp3",""
"Deepcentral","In love","DiskKurort","3:44",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\150. Deepcentral - In love.mp3",""
"Britney Spears","Inside Out (Mikael Wills & Justin Sane Remix)","Piratskaj stancij","4:37",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\024 Britney Spears - Inside Out (Mikael Wills & Justin Sane Remix).mp3",""
"Sergej Lazarev","Instantly (Secondskin Remix)","Piratskaj stancij","4:05",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\144 Sergej Lazarev - Instantly (Secondskin Remix).mp3",""
"Sergej Lazarev","Instantly (Secondskin Remix)","Vse Zvezdy 2011","4:05",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\192_Sergej Lazarev - Instantly (Secondskin Remix).mp3",""
"Nikita","Iskusayu","HitNastSummer","3:21",2011,"Pop",50,256,"K:\studio\musik\2011\_lat\_pop\HitNastSummer\55.  Nikita - Iskusayu .mp3",""
"NikitA","Iskusayu","VzrHitParOtRusRad","3:21",2011,"Pop",50,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\016. NikitA - Iskusayu.mp3",""
"NikitA","Iskusayu (Dj Movskii & Dj Karasev Remix)","Piratskaj stancij","4:55",2011,"Pop",50,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\133 NikitA - Iskusayu (Dj Movskii & Dj Karasev Remix).mp3",""
"Dr. Alban","Its My Life (Dj Adem Dub Remix)","Tanceval_Dinamika","5:26",2011,"Pop",50,320,"K:\studio\musik\2011\_lat\_pop\Tanceval_Dinamika\02. Dr. Alban - Its My Life (Dj Adem Dub Remix).mp3",""
"Serega","Ivanovo","HitNastSummer","3:19",2011,"Pop",60,256,"K:\studio\musik\2011\_lat\_pop\HitNastSummer\80.  Serega - Ivanovo .mp3",""
"Evro","Izol'da (DJ Grant & DJ Johnny Clash Electro Remix)","Piratskaj stancij","3:34",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\063 Evro - Izol'da (DJ Grant & DJ Johnny Clash Electro Remix).mp3",""
"Sharr Man","Jelly Belly","DiskKurort","3:16",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\160. Sharr Man - Jelly Belly.mp3",""
"Shazz Mann feat. Julie Anne Higgins","Jelly Belly","Vse Zvezdy 2011","3:16",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\176_Shazz Mann feat. Julie Anne Higgins - Jelly Belly.mp3",""
"Lolita","Joli Garcon (Rob and Chris Remix)","DiskKurort","5:05",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\108. Lolita - Joli Garcon (Rob and Chris Remix).mp3",""
"Wawa","Jukebox","DiskKurort","3:02",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\186. Wawa - Jukebox.mp3",""
"Wawa","Jukebox (Ivan Flash Remix)","Piratskaj stancij","4:33",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\074 Wawa - Jukebox (Ivan Flash Remix).mp3",""
"Black Eyed Peas","Just Canít Get Enough","Vse Zvezdy 2011","3:39",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\054_Black Eyed Peas - Just Canít Get Enough.mp3",""
"Bruno Mars","Just The Way You Are","Vse Zvezdy 2011","3:39",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\022_Bruno Mars - Just The Way You Are.mp3",""
"Dan Balan","Justify Sex","DiskKurort","3:31",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\046. Dan Balan - Justify Sex.mp3",""
"Dan Balan","Justify Sex (DJ Nejtrino & DJ Stranger feat. Arfasound Radio Mix)","Piratskaj stancij","3:44",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\008 Dan Balan - Justify Sex (DJ Nejtrino & DJ Stranger feat. Arfasound Radio Mix).mp3",""
"MC Zali","Kaif","DiskKurort","4:31",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\149. MC Zali - Kaif.mp3",""
"MC Zali","Kajf (DFM Version)","SamSHikNaPer","4:18",2011,"Pop",30,256,"K:\studio\musik\2011\_lat\_pop\SamSHikNaPer\14 MC Zali - Kajf (DFM Version).mp3",""
